season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Spring 2012,CR-Fitchburg,Fitchburg Line,422,1,day_type_01,weekday,1/1/2012 18:26,Ayer,4,2,3,20,1
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,1/2/2012 1:22,Lincoln,9,0,0,13,2
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,1/2/2012 1:28,Kendal Green,12,0,0,13,3
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,1/2/2012 1:31,Brandeis/Roberts,13,7,1,19,4
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,1/2/2012 1:35,Waltham,14,8,4,23,5
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,1/2/2012 1:44,Porter Square,17,1,14,10,6
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,1/2/2012 1:55,North Station,18,0,10,0,7
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 1:25,Fitchburg,1,7,0,7,8
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 1:32,North Leominster,2,1,0,8,9
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 1:40,Shirley,3,1,0,9,10
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 1:44,Ayer,4,1,1,9,11
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 1:52,Littleton/Rte 495,5,0,0,9,12
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 1:59,South Acton,6,2,2,9,13
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 2:04,West Concord,7,4,0,13,14
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 2:10,Concord,8,2,1,14,15
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 2:16,Lincoln,9,0,0,14,16
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 2:22,Kendal Green,12,1,0,15,17
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 2:25,Brandeis/Roberts,13,12,0,27,18
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 2:29,Waltham,14,4,2,29,19
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 2:34,Waverley,15,0,1,28,20
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 2:36,Belmont,16,0,0,28,21
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 2:41,Porter Square,17,1,16,13,22
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,1/2/2012 2:52,North Station,18,0,13,0,23
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,1/2/2012 3:25,Fitchburg,1,8,0,8,24
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,1/2/2012 3:33,North Leominster,2,4,0,12,25
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,1/2/2012 3:41,Shirley,3,1,0,13,26
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,1/2/2012 3:45,Ayer,4,1,3,11,27
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,1/2/2012 3:53,Littleton/Rte 495,5,0,0,11,28
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,1/2/2012 4:00,South Acton,6,0,0,11,29
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,1/2/2012 4:06,West Concord,7,3,0,14,30
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,1/2/2012 4:12,Concord,8,0,1,13,31
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,1/2/2012 4:16,Lincoln,9,1,0,14,32
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,1/2/2012 4:21,Kendal Green,12,0,0,14,33
